Wavelength_Angstroms MKO_NSFCam MMT_SWIRC Paranal_VISTA Subaru_MOIRCS UKIRT_WFCAM LCO_FourStar LaSilla_SOFI GROND_JBand
10000.000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10010.000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10020.000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10030.000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10040.000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10050.000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10060.000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10070.000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10080.000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10090.000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10100.000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10110.000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10120.000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10130.000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10140.000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10150.000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10160.000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10170.000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10180.000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10190.000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10200.000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10210.000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10220.000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10230.000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10240.000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10250.000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10260.000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10270.000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10280.000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10290.000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10300.000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10310.000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
